,id,car_brand,car_series,model_year,car_price,cost_per_month,tax_rate,energy_combined,car_capacity,car_width,car_length,car_height,car_seats,car_weight,emissions_pm,emissions_nox,emissions_co2,emission_cluster_kmeans,pca_kmean_cluster
861,7aff8b071bd24636869ec1810431b2ce,TOYOTA,LAND CRUISER SAHARA,2019,6200000,7544.88,40.0,12.6,4461,1980,4990,1945,7,2500,0.0504,0.317,332,2,2
862,566e4db132f44da3894f75734b94d0fb,BMW,M8 Coupe,2020,17959000,8294.9,40.0,10.9,4395,1907,4867,1362,4,1885,,0.019,249,2,2
863,c69e287a45354033a601f6114d1b12b8,TOYOTA,ALPHARD 2.5 HYBRID G F Package,2020,2900000,4337.7,16.0,5.7,2493,1850,4945,1950,7,2123,,0.022,133,0,3
864,56230ad86f3a4601b7369c94f62b6215,TOYOTA,ALPHARD 2.5 HYBRID G,2020,2600000,4337.7,16.0,5.7,2493,1850,4945,1950,7,2123,,0.022,133,0,3
865,306621a2fd8e4e609263af7770dc94dd,Mercedes-Benz,Mercedes-Benz E 300 Cabriolet AMG Dynamic,2019,5340000,5707.5,30.0,7.5,1991,1860,4846,1429,4,1880,,0.018,169,3,1
866,d67b0f1a94bc4009a2f581e09d8d5ea6,MG,ZS 1.5 C+,2020,689000,6468.5,20.0,8.5,1498,1809,4323,1628,5,1290,,0.009,139,3,3
867,0069de9ca11643859ccb243bbe609a83,MG,ZS 1.5 D+,2020,739000,6468.5,20.0,8.5,1498,1809,4323,1653,5,1290,,0.009,139,3,3
868,21275247e2354fcda9135069ef85185d,MG,ZS 1.5 X+,2020,799000,4870.4,20.0,6.4,1498,1809,4323,1653,5,1290,,0.009,148,1,3
869,81f7acd1fad441eaaf1d9082c4150171,Subaru,XV 2.0i-P ,2017,990000,5327.0,30.0,7.0,1995,1800,4465,1615,5,1439,0.0,0.003,162,3,3
870,d14286f6d6d94afb8fc9c98d4750a4fb,MG,NEW MG3 HATCHBACK 1.5 C,2018,519000,6620.7,20.0,8.7,1498,4055,1729,1516,5,1160,0.0,0.008,142,3,3
871,7c497bee76e247b690316ad8fedd04ea,MG,NEW MG3 HATCHBACK 1.5 D,2018,549000,6620.7,20.0,8.7,1498,4055,1729,1516,5,1160,0.0,0.008,142,3,3
872,92237fc28030427db66c1d1fe54b6941,MG,NEW MG3 HATCHBACK 1.5 X SUNROOF,2018,589000,6620.7,20.0,8.7,1498,4055,1729,1516,5,1190,0.0,0.008,142,3,3
873,b111be5d136b4ceab20fca4200039f42,MG,NEW MG3 HATCHBACK 1.5 V SUNROOF,2018,629000,6620.7,20.0,8.7,1498,4055,1729,1516,5,1190,0.0,0.008,142,3,3
874,352f0fadc438491684812fb72c019084,MG,ZS 1.5 C,2018,679000,6772.9,20.0,8.9,1498,1809,4314,1624,5,1258,0.0,0.029,144,3,3
875,305b0ddb29ab4baa902fc7527fdebbb5,MG,MG HS TURBO C,2019,919000,6468.5,20.0,8.5,1490,1876,4574,1664,5,1510,0.0,0.026,140,3,3
876,61e3341939e9423a91651bde5327ec2f,MG,MG HS TURBO D,2019,1019000,6468.5,20.0,8.5,1490,1876,4574,1664,5,1510,0.0,0.026,140,3,3
877,174c6f84f1e14f51bed9bd40573f2861,MG,MG HS TURBO X,2019,1119000,4718.2,20.0,6.2,1490,1876,4574,1664,5,1510,0.0,0.026,145,1,3
878,0702d3d994a64b49a5f9aad84a7d55af,Mercedes-Benz,Mercedes-Benz E 200 Coupe AMG Dynamic,2019,4520000,5555.3,30.0,7.3,1991,1860,4846,1431,4,1735,0.0,0.018,164,3,3
879,a432f3b668a34f8e8420ffbe2908c064,Mercedes-Benz,E 220 d Sport,2016,3399000,2455.08,25.0,4.1,1950,1852,4923,1468,5,1715,0.0,0.056,108,1,0
880,2fde0faa5b1e499ea29389c847d5b0b2,Mercedes-Benz,Mercedes-Benz E 300 e Avantgarde,2019,3190000,1522.0,4.0,2.0,1991,1852,4923,1475,5,2005,0.0,0.006,46,1,0
881,8be4f757c40b450e9ef4cee62766d65e,NISSAN,SERENA E-POWER X V EDITION,2019,1900000,4109.4,16.0,5.4,1198,1740,4770,1865,7,1725,,0.001,126,1,3
882,136d3939ed28488790a5f2d02ffd03c4,TOYOTA,ALPHARD 2.5 G,2018,2650000,6316.3,30.0,8.3,2493,1850,4945,1950,7,2060,,0.006,194,0,1
883,8ee3b76b67074161a85b41a4d812d2e9,TOYOTA,VELLFIRE 2.5 HYBRID V L Edition,2018,2900000,4642.1,16.0,6.1,2493,1850,4945,1950,7,2130,,0.008,141,0,3
